Number_of_cars;Number_of_different_loads;num_wheels1;length1;shape1;num_loads1;load_shape1;num_wheels2;length2;shape2;num_loads2;load_shape2;num_wheels3;length3;shape3;num_loads3;load_shape3;num_wheels4;length4;shape4;num_loads4;load_shape4;Rectangle_next_to_rectangle;Rectangle_next_to_triangle;Rectangle_next_to_hexagon;Rectangle_next_to_circle;Triangle_next_to_triangle;Triangle_next_to_hexagon;Triangle_next_to_circle;Hexagon_next_to_hexagon;Hexagon_next_to_circle;Circle_next_to_circle;Class_attribute
5;3.0;2;1;10;1.0;1.0;2;1;15;1.0;4.0;2.0;2.0;9.0;3.0;3.0;2.0;1.0;9.0;1.0;3.0;1;1;0;0;0;0;1;0;0;0;1
5;3.0;2;1;9;1.0;4.0;2;1;15;1.0;3.0;2.0;1.0;9.0;1.0;1.0;2.0;2.0;2.0;1.0;3.0;0;1;0;1;0;0;0;0;0;0;1
5;3.0;2;1;9;1.0;1.0;2;1;10;1.0;1.0;3.0;2.0;2.0;1.0;3.0;2.0;2.0;2.0;2.0;3.0;0;1;0;1;0;0;0;0;0;1;1
5;2.0;2;1;15;1.0;4.0;3;2;9;3.0;3.0;2.0;1.0;3.0;1.0;4.0;2.0;1.0;9.0;1.0;4.0;0;1;0;0;1;0;0;0;0;0;1
5;2.0;2;1;6;1.0;3.0;2;1;9;1.0;3.0;2.0;1.0;10.0;1.0;3.0;2.0;1.0;15.0;2.0;4.0;1;1;0;0;0;0;0;0;0;0;1
5;3.0;2;1;11;1.0;1.0;2;1;9;1.0;4.0;2.0;1.0;9.0;1.0;4.0;2.0;2.0;8.0;1.0;3.0;0;1;0;0;1;0;1;0;0;0;1
5;3.0;2;2;2;1.0;3.0;2;1;2;1.0;1.0;2.0;2.0;2.0;1.0;1.0;2.0;1.0;15.0;1.0;4.0;0;0;0;1;0;0;1;0;0;1;1
5;3.0;2;1;15;1.0;3.0;2;2;9;3.0;3.0;2.0;1.0;1.0;1.0;3.0;2.0;1.0;10.0;1.0;4.0;1;1;0;0;0;0;0;0;0;0;1
5;2.0;2;1;9;1.0;4.0;2;1;9;1.0;4.0;2.0;1.0;9.0;1.0;1.0;2.0;1.0;9.0;1.0;1.0;0;0;0;0;1;0;1;0;0;1;1
5;2.0;2;1;12;1.0;3.0;2;1;15;1.0;1.0;2.0;2.0;9.0;2.0;1.0;2.0;2.0;8.0;1.0;1.0;0;0;0;1;0;0;0;0;0;1;1
5;2.0;2;1;2;1.0;4.0;2;1;10;2.0;1.0;2.0;1.0;10.0;1.0;4.0;2.0;1.0;3.0;1.0;1.0;0;0;0;0;0;0;1;0;0;0;0
5;4.0;2;1;9;1.0;3.0;3;2;8;1.0;3.0;2.0;1.0;12.0;1.0;4.0;2.0;1.0;5.0;1.0;1.0;0;1;0;0;0;0;1;0;0;0;0
5;3.0;2;1;2;1.0;3.0;2;1;9;1.0;4.0;2.0;2.0;9.0;3.0;3.0;3.0;2.0;2.0;3.0;2.0;0;1;1;0;0;0;0;0;0;0;0
5;2.0;2;1;13;1.0;1.0;2;1;10;1.0;1.0;2.0;1.0;15.0;1.0;1.0;2.0;1.0;6.0;1.0;4.0;0;0;0;0;0;0;1;0;0;1;0
5;4.0;3;1;9;1.0;1.0;2;1;12;1.0;4.0;2.0;1.0;9.0;1.0;3.0;2.0;1.0;10.0;1.0;3.0;1;1;0;0;0;0;1;0;0;0;0
5;3.0;2;1;9;1.0;4.0;2;2;9;3.0;1.0;2.0;1.0;7.0;1.0;3.0;2.0;1.0;6.0;1.0;4.0;0;1;0;1;0;0;1;0;0;0;0
5;2.0;2;1;15;1.0;3.0;2;2;9;3.0;3.0;2.0;2.0;8.0;2.0;3.0;2.0;2.0;8.0;1.0;1.0;1;0;0;1;0;0;0;0;0;0;0
5;2.0;2;1;9;2.0;4.0;2;1;15;1.0;3.0;2.0;1.0;6.0;1.0;3.0;3.0;2.0;8.0;1.0;3.0;1;1;0;0;0;0;0;0;0;0;0
5;2.0;2;1;5;1.0;1.0;2;1;10;1.0;1.0;3.0;2.0;8.0;1.0;4.0;2.0;1.0;15.0;1.0;4.0;0;0;0;0;1;0;1;0;0;1;0
5;2.0;2;1;15;1.0;3.0;2;1;10;1.0;4.0;3.0;2.0;2.0;1.0;4.0;2.0;1.0;9.0;1.0;4.0;0;1;0;0;1;0;0;0;0;0;1
5;3.0;2;1;9;1.0;1.0;2;1;5;1.0;1.0;3.0;2.0;9.0;3.0;3.0;2.0;1.0;15.0;1.0;4.0;0;1;0;0;0;0;1;0;0;1;1
5;3.0;2;1;5;1.0;4.0;2;1;10;1.0;4.0;2.0;2.0;8.0;1.0;3.0;2.0;1.0;15.0;1.0;1.0;0;1;0;1;1;0;0;0;0;0;1
5;2.0;2;1;12;1.0;4.0;2;1;5;1.0;1.0;2.0;1.0;3.0;1.0;1.0;2.0;1.0;5.0;1.0;1.0;0;0;0;0;0;0;1;0;0;1;1
5;2.0;2;1;13;1.0;3.0;2;1;5;1.0;1.0;2.0;2.0;2.0;1.0;3.0;3.0;2.0;9.0;1.0;3.0;1;0;0;1;0;0;0;0;0;0;1
5;1.0;2;1;9;1.0;4.0;2;1;12;1.0;4.0;2.0;1.0;10.0;1.0;4.0;2.0;1.0;7.0;1.0;4.0;0;0;0;0;1;0;0;0;0;0;1
5;2.0;2;1;5;1.0;4.0;2;1;9;1.0;4.0;3.0;2.0;8.0;2.0;3.0;2.0;1.0;9.0;1.0;4.0;0;1;0;0;1;0;0;0;0;0;1
5;4.0;2;1;9;1.0;1.0;2;2;9;1.0;4.0;2.0;1.0;5.0;1.0;3.0;3.0;2.0;2.0;3.0;3.0;1;1;0;0;0;0;1;0;0;0;1
5;2.0;2;1;10;1.0;4.0;2;1;5;1.0;4.0;3.0;2.0;2.0;1.0;3.0;2.0;1.0;15.0;1.0;3.0;1;1;0;0;1;0;0;0;0;0;1
5;2.0;2;1;10;1.0;1.0;3;2;9;1.0;3.0;2.0;1.0;6.0;1.0;1.0;2.0;1.0;4.0;1.0;1.0;0;0;0;1;0;0;0;0;0;1;1
5;2.0;2;2;2;1.0;3.0;2;1;9;1.0;1.0;3.0;2.0;2.0;3.0;3.0;2.0;1.0;9.0;1.0;1.0;0;0;0;1;0;0;0;0;0;0;0
5;3.0;2;1;9;1.0;1.0;2;1;7;1.0;1.0;2.0;1.0;9.0;1.0;4.0;2.0;2.0;9.0;1.0;2.0;0;0;0;0;0;1;1;0;0;1;0
5;3.0;2;1;10;1.0;4.0;2;1;2;1.0;3.0;2.0;2.0;2.0;3.0;3.0;2.0;1.0;7.0;1.0;1.0;1;1;0;1;0;0;0;0;0;0;0
5;2.0;2;1;10;1.0;4.0;2;2;2;3.0;3.0;3.0;2.0;2.0;3.0;3.0;3.0;2.0;2.0;2.0;3.0;1;0;0;0;0;0;0;0;0;0;0
5;2.0;2;1;9;1.0;3.0;2;1;9;1.0;1.0;2.0;2.0;2.0;3.0;1.0;2.0;1.0;15.0;1.0;1.0;0;0;0;1;0;0;0;0;0;0;0
5;3.0;2;1;7;1.0;1.0;2;1;10;1.0;4.0;2.0;1.0;10.0;2.0;4.0;3.0;2.0;2.0;3.0;3.0;0;1;0;0;1;0;1;0;0;0;0
5;1.0;2;1;5;1.0;1.0;3;2;2;1.0;1.0;3.0;2.0;2.0;0.0;0.0;2.0;1.0;4.0;1.0;1.0;0;0;0;0;0;0;0;0;0;1;0
5;3.0;2;2;9;1.0;3.0;2;2;9;1.0;3.0;2.0;1.0;6.0;1.0;3.0;2.0;1.0;14.0;1.0;4.0;1;1;0;1;1;1;1;0;0;0;0
5;3.0;2;1;9;3.0;3.0;2;1;7;1.0;1.0;2.0;1.0;10.0;1.0;4.0;2.0;1.0;5.0;1.0;4.0;0;0;0;1;1;0;1;0;0;0;0
